Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update
Learn PHP Fundamentals From Scratch,www.udemy.com/course/learn-php-fundamentals-from-scratch/,Eduonix Learning Solutions,19.99,11.39,"3.9(2,153 ratings)",Development,Web Development,PHP,"64,111",English,A Short Course on PHP Basics,7/2019
BlackBelt PHP and MySQL Skills for Creating Dynamic Website,www.udemy.com/course/essential-php-skills-for-building-dynamic-websites-revoiced/,OnlyKiosk Tech,149.99,11.39,4.2(152 ratings),Development,Web Development,MySQL,"1,261",English,Learning how to create programs that are safe and efficient enough to survive in real life from ground zero.,10/2016
Create a SMS Verification with Login System Using PHP MySQL,www.udemy.com/course/php-login-and-registration-with-email-mobile-verification/,Aizaz dinho,44.99,11.39,4.0(38 ratings),Development,Web Development,PHP,294,English,Learn To Build Login and Registration System with Mobile & Email Code Verification Using PHP and MySQL,4/2018
"Android : E-Commerce App using Kotlin, PHP and Paypal API",www.udemy.com/course/android-e-commerce-app-using-kotlin-php-and-paypal-api/,Dhoyazan Adbo Othman,24.99,11.39,4.1(106 ratings),IT & Software,Other,Kotlin,"1,639",English,Build online food order app using Kotlin and Let users pay online using Paypal,4/2018
PHP CodeIgniter - Learn CodeIgniter,www.udemy.com/course/php-codeigniter/,Jesse Boyer,199.99,11.39,4.3(268 ratings),Development,Programming Languages,CodeIgniter,"2,767",English,"Learn CodeIgniter by building an Application! Built with AJAX/jQuery calls, and styled with twitter bootstrap!",2/2016
Android Development Working With Databases Using Mysql & PHP,www.udemy.com/course/android-development-course/,Joe Parys,199.99,11.39,4.1(605 ratings),Development,Mobile Apps,Android Development,"67,297",English,In this complete course students will learn android development by working with databases using Mysql and PHP,5/2016
Ultimate PHP Basics for Absolute Beginners - [200+ PHP Code],www.udemy.com/course/ultimate-php-course-for-absolute-beginners/,Srinivas Vanamala,54.99,11.39,4.4(153 ratings),Development,Web Development,PHP,"11,541",English,Easy and Simple Methods to Learn PHP Concepts with lots of Practical Examples and Exercises. Skills Guaranteed.,8/2019
Creating a Simple Newsletter Signup Using PHP and MySQL,www.udemy.com/course/creating-a-simple-newsletter-signup-using-php-and-mysql/,Malcolm Knott,199.99,11.39,4.2(7 ratings),Development,Web Development,PHP,40,English,In this course we are going to add a newsletter signup form that saves to a database.,11/2019
PHP & MySQL - Certification Course for Beginners,www.udemy.com/course/php-mysql-certification-course-for-beginners/,YouAccel Training,199.99,11.39,4.3(100 ratings),Development,Web Development,PHP,"15,056",English,Learn to Build Database Driven Web Applications using PHP & MySQL,7/2019
PHP Tutorial: PHP/MySQL for Beginners,www.udemy.com/course/phpmysql-for-beginners/,Framework Television Inc.,54.99,11.39,3.8(107 ratings),Development,Programming Languages,MySQL,"1,396",English,Learn PHP online with MySQL and Start Developing Web Apps like a Pro!,7/2019
Object Oriented Programming (OOP) in PHP - Build An OOP Site,www.udemy.com/course/object-oriented-programming-in-php/,Rob Percival,19.99,11.39,4.4(846 ratings),Development,Web Development,Object Oriented Programming,"7,088",English,"No PHP knowledge required. Everything you need to know to build and manage OOP websites in PHP, including Wordpress",6/2014
Getting Started with PHP 7,www.udemy.com/course/getting-started-with-php-7/,Packt Publishing,124.99,11.39,4.3(201 ratings),Development,Programming Languages,PHP,922, English,Increase your productivity by learning the new features of PHP 7,2/2017
PHP for Beginners 2019 Part 3: How to Create a Website Login,www.udemy.com/course/google-sign-in-for-websites/,Patrick at Coding.Academy,19.99,11.99,4.8(21 ratings),Development,Web Development,PHP,200,English,Allow login to your website using a Google account. Every Line of code explained. Use the Google API. Retrieve user data,7/2019
Modern Freelancing Website In PHP&MYSQLI With Bootstrap 4,www.udemy.com/course/modern-freelancing-website-in-phpmysqli-with-bootstrap-4/,Mohammad Tahir Ahmed,99.99,11.39,3.9(81 ratings),Development,Web Development,Bootstrap,729,English,Learn advanced freelancing website In php&mysqli with bootstrap 4 with its complete functionalities in a single course.,5/2018
Login & Registration with PHP MYSQL and Bootstrap4,www.udemy.com/course/complete-authentication-system-with-php-mysql-and-bootstrap4/,Spyridon Varnas,104.99,11.39,5.0(7 ratings),Development,Web Development,PHP,37,English,Login Registration Email verification Authentication system Forgot-Reset password Profile Management PHP MySQL Bootstrap,12/2019
Build Courier Tracking System in PHP OOP -- 2019,www.udemy.com/course/learn-php-build-courier-management-system-in-php-oop-2019/,Peter Fredrick,49.99,11.39,4.1(8 ratings),Development,Web Development,jQuery,78,English,Build courier tracking management software in php oop,8/2019
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",www.udemy.com/course/build-a-complete-crud-application-with-php-mysql-jquery/,Uzochukwu Eddie Odozi,19.99,11.39,4.3(164 ratings),Development,Web Development,PHP,"11,987",English,CRUD Application: You will learn how to build a complete crud application with step by step guide,2/2017
Make Your Own Custom Report in Moodle,www.udemy.com/course/make-your-own-custom-report-in-moodle/,Brian Kremer,99.99,11.39,4.6(9 ratings),Development,Web Development,Moodle,50,English,Your first step in Moodle and PHP development,11/2019
PHP - Send and Receive Mobile Text Messages (SMS),www.udemy.com/course/php-send-and-receive-mobile-text-messages-sms/,Edwin Diaz,49.99,11.39,3.8(152 ratings),Development,Web Development,PHP,"2,183",English,Learn to send SMS messages with your PHP application,6/2018
PHP User Login Registration Script With All Features,www.udemy.com/course/php-user-login-registration-system/,Vivek Vengala,199.99,11.39,4.5(170 ratings),Development,Web Development,PHP,"10,425",English,"PHP User Management Login, Registration, Forgot Password, Members Area from Basic to Advanced Covering All The Features.",11/2019
PHP with PDO - ULTIMATE Crash Course,www.udemy.com/course/php-with-pdo-ultimate-crash-course/,Edwin Diaz,49.99,11.39,4.6(336 ratings),Development,Web Development,PHP,"1,948",English,Learn PHP Data Object Objects or PDO and make better secured database queries.,12/2015
Writing Secure PHP Code - PHP Security Tutorial,www.udemy.com/course/writing-secure-php-code/,Infinite Skills,49.99,11.39,3.4(141 ratings),Development,Programming Languages,PHP,"4,354",English,Create secure PHP code and prevent attacks and exploits in your code - This is an Essential course for all developers,1/2017
Complete php mysql course - Learn php mysql and php oop,www.udemy.com/course/php-mysqli-tutorials/,Abdull Waheed,199.99,11.39,4.6(233 ratings),Development,Web Development,MySQL,"9,544",English,"Php mysql complete guide learn php mysql to create calculator, currency converter & online voting system using php mysql",2/2019
PHP Crash Course — Learn PHP in 90 minutes.,www.udemy.com/course/php-crash-course/,Kalob Taulien,99.99,11.39,4.9(120 ratings),Development,Web Development,PHP,"3,481",English,Learn PHP in less than 90 minutes with this fast-paced PHP crash course.,6/2018
PHP MySQL Fundamentals from Scratch with Examples & Projects,www.udemy.com/course/php-mysql-fundamentals-from-scratch-with-examples-projects/,Pradnyankur Nikam,194.99,11.39,4.7(10 ratings),Development,Web Development,PHP,125,English,PHP for beginners: Learn PHP procedural programming with MySQL database. Design dynamic websites with PHP & MySQL.,12/2018
"PHP with PDO: Build a Basic Task List with PHP, PDO & MySQL",www.udemy.com/course/php-with-pdo-build-a-basic-task-list-with-php-pdo-mysql-ajax/,Terry Ogbemudia Osayawe,69.99,11.39,4.4(161 ratings),Development,Databases,PHP,"3,433",English,"Learn and Understand PHP Database Objects (PDO), Build a Basic Task List with PHP, PDO, MYSQL and JQuery Ajax",12/2017
"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",www.udemy.com/course/a-complete-guide-to-install-wordpress-php-on-cloud-server-aws-or-vps/,Dhiraj Rahul,49.99,11.39,3.8(41 ratings),Development,Web Development,PHP,"1,582",English,"A guide to deploying sites on Nginx, MySQL, PHPmyAdmin and mailserver with Postfix, RoundCube, SpamAssassian, ClamAV etc",6/2019
Intro To PHP For Web Development,www.udemy.com/course/intro-to-php-for-web-development/,John Elder,199.99,11.39,4.7(105 ratings),Development,Programming Languages,PHP,"2,397",English,Learn PHP for Web Development. Php is a popular Programming Language for a reason! Become a backend coder today!,11/2019
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,www.udemy.com/course/learning-php-and-mysql-development-the-easy-way/,Infinite Skills,49.99,11.39,4.3(155 ratings),Development,Web Development,MySQL,"5,857",English,"Learn To Build Robust PHP / MySQL Web Applications, Taught By Leading Zend Certified PHP Trainer. Learn To Code PHP Fast",1/2017
Create a PHP Contact Form in Bootstrap,www.udemy.com/course/bootstrap-php-contact-form/,Andy Clarke,19.99,11.39,4.4(114 ratings),Development,Web Development,Bootstrap,"2,407",English,Learn how to create a fully functioning PHP Contact Form within bootstrap...,1/2017
PHP For Everybody — The Perfect PHP Beginners Course (2019),www.udemy.com/course/php-for-everybody/,Kalob Taulien,199.99,11.39,4.1(44 ratings),Development,Web Development,PHP,247,English,PHP For Everybody: learn everything you need to become a professional PHP developer. PHP Homework and Project included.,1/2019
Complete Beginners Guide to Learning PHP,www.udemy.com/course/learn-php-for-beginners/,Laurence Svekis,199.99,11.39,4.8(267 ratings),Development,Programming Languages,PHP,"26,980",English,Learn how to write PHP code. Beginners quick start guide to learning the foundations of PHP coding,11/2019
PHP 7 - A Simple Guide to Database Connections with PHP PDO,www.udemy.com/course/php7-beginners-guide-to-database-pdo/,Tony de Araujo,179.99,11.39,4.8(21 ratings),Development,Web Development,PHP,57,English,PHP Data Objects syntax perfect tutorial for beginners working with XAMPP,12/2019
Design Patterns In PHP Made Simple,www.udemy.com/course/design-patterns-through-php/,Suresh Kumar Srivastava,149.99,11.39,3.2(22 ratings),Development,Software Engineering,PHP,188,English,Design patterns in PHP (OOP) programming tutorial for software architecture/projects/interview questions UML/Free code,5/2019
Getting Started with Microservices in PHP,www.udemy.com/course/getting-started-with-microservices-in-php/,Packt Publishing,124.99,11.39,3.2(48 ratings),Development,Game Development,PHP,192,English,Build your own microservices in PHP,5/2018
Learning Path: Functional Programming for PHP 7 Developers,www.udemy.com/course/learning-path-functional-programming-for-php-7-developers/,Packt Publishing,199.99,11.39,3.4(20 ratings),Development,Web Development,Functional Programming,241,English,Enhance your PHP 7 development skills by learning advanced PHP techniques and most importantly functional programming.,6/2019
Full Stack Web Development tutorial For Beginners 2020,www.udemy.com/course/full-stack-web-development-bootcamp-for-beginners-2019/,Manish kumar,19.99,11.39,3.5(78 ratings),Development,Web Development,PHP,"10,484",English,"The only course you should learn to be a complete developer using latest web technologies like html,css,JQuery,PHP,SQL",3/2019
Login and Registration from Scratch with PHP and MySQL,www.udemy.com/course/authentication-from-scratch-with-php-and-mysql/,Dave Hollingworth,19.99,11.39,4.2(136 ratings),Development,Web Development,MySQL,"1,398",English,"Create a PHP login system including user sign-up, login, ""remember me"", password reset and user administration.",8/2016
Understanding Advance PHP Techniques with OOP | AJAX | MySQL,www.udemy.com/course/understanding-advance-php-techniques-with-oop-ajax-mysql/,Paul Amissah,19.99,11.39,4.3(41 ratings),Development,Web Development,PHP,387,English,A practical guide to becoming a successful Professional Freelance PHP Web App Developer,8/2016
PHP for Beginner - Create PHP OOP Login / Register System,www.udemy.com/course/create-complete-login-register-system/,Kazi Ariyan,99.99,11.39,4.3(17 ratings),Development,Web Development,PHP,117,English,"PHP Complete Course for How to Create Login / Register System Using PHP, MySQL, OOP, PDO and BOOTSTRAP",5/2019
E Commerce Website Development In PHP With PDO,www.udemy.com/course/e-commerce-website-development-in-php-with-pdo/,Mr. Azaz Aiyub Patel,59.99,11.39,4.2(18 ratings),Development,Web Development,PDO,86,English,A-Z Guidelines With Full Practical To Create An E commerce Website In PHP With Paypal And Cash On Delivery Method,5/2018
PHP Secure Login and Registration System + Email Activation,www.udemy.com/course/create-php-mysql-login-and-registration-system-with-email-verification/,Jazeb Akram,129.99,11.39,4.4(54 ratings),Development,Programming Languages,PHP,"1,640",English,Create Secure Login and Registration System with Email Verification using HTML CSS PHP and MYSQL from Scratch,11/2019
The Ultimate PHP Training Bundle for Beginner to Advanced,www.udemy.com/course/the-ultimate-php-training-course/,Simon Sez IT,149.99,11.39,4.2(70 ratings),Development,Programming Languages,PHP,"3,805",English,"Learn to build powerful web applications with this 12.5 hour course for beginner, intermediate and advanced students.",6/2018
Login and Registration with Email Verification using PHP OOP,www.udemy.com/course/login-and-registration-with-email-verification-using-php-oop/,Faraz Abbas,189.99,11.39,4.3(10 ratings),Development,Web Development,PHP,68,English,"Create Secure Login & Registration System with Email verification, login through FB & Google, etc using PHP & MySQLi OOP",4/2017
Object Orientation in PHP,www.udemy.com/course/object-orientation/,Lawrence Turton,19.99,11.39,4.3(180 ratings),Development,Web Development,PHP,635,English,"Fully understand object oriented analysis, design and programming from the ground up.",3/2016
"Complete course TelegramBot and PHP, Build your ChatBot",www.udemy.com/course/complete-course-php-and-telegrambot/,wholesky Clem,19.99,11.99,3.1(10 ratings),Development,Programming Languages,PHP,56,English,"Step by Step learning PHP and TelegramBot complete course API Method , telegram bot and php,learn how to build robot",9/2019
Complete PHP and MySql Course: From Beginner to Professional,www.udemy.com/course/complete-php-mysql-course-for-beginners-start-to-finish/,Usman Raoof,199.99,11.39,4.2(225 ratings), Development,Web Development,MySQL,"6,804",English, Only Course you need to learn Complete PHP and MySql and go from Beginner to Advanced in 7 Hours!,2/2019
Create An Auction Site From Scratch: PHP and MySQLi,www.udemy.com/course/create-an-auction-site-from-scratch-php-and-mysqli/,Eric Tam,189.99,11.39,4.6(2 ratings),Development,Web Development,PHP,"2,418",English,"Use PHP, MySQLi, HTML and CSS To Create Your Very Own Auction Website",9/2019
"Modern PHP Web Development w/ MySQL, GitHub & Bootstrap 4",www.udemy.com/course/advanced-php-web-development-w-mysql-github-bootstrap-4/,Trevoir Williams,199.99,11.39,0.0(0 ratings),Development,Web Development,PHP,31,English,"Learn to develop data driven web applications using PHP and MySQL, manage them with GitHub and deploy to Heroku",11/2019
