Course,URL,instructor,Price (full),Price (discount),Rank
Neuroplasticity SUPERPOWER: How To Rewire Your Brain,www.udemy.com/course/modern-neuroplasticity-how-to-rewire-your-brain-for-success/,Silviu Marisk - Top Instructor,$199.99,$10.99,Rating: 4.7 out of 54.7 - (232)
Herbalism :: Medicinal Kitchen Herbs/Spices [Certificate],www.udemy.com/course/home-remedies-herbs-spices-as-medicine/,Elizabeth Heck,"₩55,000","₩12,100",Rating: 4.6 out of 54.6 - (421)
"Massage Professional: 15 Hours, 11 Accredited Certificates",www.udemy.com/course/ebodhimassage/,The Ebodhi Team,0,"₩55,000",Rating: 4.5 out of 54.5 - (109)
Thai Foot Reflexology Massage Certificate Course,www.udemy.com/course/thai-foot-reflexology-massage-course/,Mark Perren-Jones,"₩220,000","₩12,100",Rating: 4.6 out of 54.6 - (566)
Past Life Regression - Therapist Training,www.udemy.com/course/past-life-regression-therapist-training/,Mark Beale,"₩110,000","₩12,100",Rating: 4.7 out of 54.7 - (555)
Hypnosis Practitioner & Hypnotherapy Guide (CPD Accredited),www.udemy.com/course/fundamentals-of-hypnotherapy/,"Flavio Balerini, Ph.D., Joeel & Natalie Rivera, Transformation Academy ™","₩220,000","₩12,100",Rating: 4.6 out of 54.6 - (420)
Luxury Spa Facial Certificate Course- A Step by Step Guide,www.udemy.com/course/award-winning-isla-verde-spa-luxury-spa-facial-course/,Mark Perren-Jones,"₩104,500","₩12,100",Rating: 4.7 out of 54.7 - (658)
Crash Course 2 Keto - Ketosis Made Simple,www.udemy.com/course/crashcourse2keto/,Dr. Brady Salcido,"₩110,000","₩12,100",Rating: 4.6 out of 54.6 - (722)
Herbalism :: First Aid Remedies [Certificate],www.udemy.com/course/home-remedies-for-the-first-aid-kit/,Elizabeth Heck,"₩55,000","₩12,100",Rating: 4.6 out of 54.6 - (322)
Professional Cupping Therapy & Massage,www.udemy.com/course/cupping-therapy/,Lev Pigovat,"₩220,000","₩12,100","Rating: 4.7 out of 54.7 - (1,040)"
Meditation for Beginners: How to Meditate Deeply & Quickly,www.udemy.com/course/meditation-for-beginners-learn-to-be-free-from-anxiety-now/,Ken Wells,"₩220,000","₩12,100",Rating: 4.5 out of 54.5 - (820)
Internationally Accredited Diploma in Diet Planning,www.udemy.com/course/diet-plan-mastery/,"Akash Sehrawat, Fabulous Body, Teaching Assistant","₩220,000","₩12,100",Rating: 4.5 out of 54.5 - (475)
