Course,URL,instructor,Price (full),Price (discount),Rank
CFA Level 1 (2020) - Ethics Review,www.udemy.com/course/cfa-level-1-ethics-review/,"PrepNuggets | Keith Tan, CFA",59.99,9.99,4.7(30 ratings)
KPI and metrics for Management Consultants & Managers,www.udemy.com/course/kpi-and-metrics-for-management-consultants-managers/,Asen Gyczew,189.99,9.99,4.3(66 ratings)
Accounting–Financial Accounting Total-Beginners to Advanced,www.udemy.com/course/financial-accounting-accounting-cycle/,Robert (Bob) Steele,199.99,9.99,4.2(252 ratings)
The Complete Dividend Investing Course (Updated 2020),www.udemy.com/course/how-to-value-dividend-stocks/,Wealthy Education,199.99,9.99,4.3(501 ratings)
Start Trading Stocks Using Technical Analysis! Part 2,www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/,Corey Halliday,199.99,9.99,4.7(644 ratings)
How I Make Consistent Returns Trading Options,www.udemy.com/course/how-i-make-15-per-month-trading-options/,Stephen Burnich,199.99,9.99,4.7(545 ratings)
Personal Finance Masterclass - Easy Guide to Better Finances,www.udemy.com/course/personal-finance-masterclass/,Phil Ebiner,99.99,9.99,"4.2(1,308 ratings)"
SAP FICO For Beginners - A Guide to SAP Financial Accounts,www.udemy.com/course/sap-fico-for-sap-beginners/,Dhruv Bais,199.99,9.99,4.0(617 ratings)
Hedge and Mutual Fund Careers: The Complete Guide,www.udemy.com/course/hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks/,Chris Haroun,199.99,9.99,4.6(958 ratings)
"Cryptocurrency: Complete Bitcoin, Ethereum, Altcoins! (8 HR)",www.udemy.com/course/cryptocurrency-complete-bitcoin-ethereum-course/,"Steve Ballinger, MBA",0,0,"4.5(1,932 ratings)"
Options Trading for Rookies: Basic Stock Options Strategies,www.udemy.com/course/basic-option-strategies-trading-vertical-options/,Kal Zurn,94.99,9.99,4.9(261 ratings)
Predict the Market with Harmonic Elliott Wave Analysis,www.udemy.com/course/predict-the-market-with-harmonic-elliott-wave-analysis/,CastAway Trader,0,0,4.7(67 ratings)
Mastering Price Action Trading with Supply and Demand,www.udemy.com/course/market-stalkers-level-1-supply-demand-trading/,Deeyana Angelo,0,0,4.5(165 ratings)
Forex Trading: Your Complete Guide to Get Started Like a Pro,www.udemy.com/course/forex-trading-your-complete-guide-to-get-started-like-a-pro/,Federico Sellitti,0,0,"4.6(1,020 ratings)"
How to Start a Bookkeeping Business!,www.udemy.com/course/learn-how-to-start-your-own-profitable-bookkeeping-business/,"Brett Philips, CPA",0,0,4.3(101 ratings)
