Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
TOTAL: CompTIA Security+ Certification (SY0-501).,www.udemy.com/course/comptia-security-certification-sy0-501-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",€194.99,€11.99,"Rating: 4.6 out of 54.6 - (16,591)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students), (/user/mike-meyers/, Mike Meyers)]",IT & Software,IT Certification,CompTIA Security+,"65,158",English,"Everything you need to pass the CompTIA Security+ SY0-501 Exam, from Mike Meyers. CompTIA expert and bestselling author.",7/2019,01/27/20
TOTAL: CompTIA Network+ Certification (N10-007).,www.udemy.com/course/comptia-network-cert-n10-007-the-total-course/,"Total Seminars • 200,000+ Students, Mike Meyers",€199.99,€11.99,"Rating: 4.7 out of 54.7 - (9,666)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students), (/user/mike-meyers/, Mike Meyers)]",IT & Software,IT Certification,CompTIA Network+,"40,486",English,"Everything you need to pass the CompTIA Network+ Exam, N10-007 from Mike Meyers, CompTIA expert and bestselling author.",11/2019,01/27/20
AWS Certified Developer - Associate 2020,www.udemy.com/course/aws-certified-developer-associate/,"Ryan Kroonenburg, Faye Ellis",€149.99,€11.99,"Rating: 4.3 out of 54.3 - (33,444)","[(/user/ryankroonenburg/, Ryan Kroonenburg), (/user/faye-ellis-2/, Faye Ellis)]",IT & Software,IT Certification,AWS Certification,"177,066",English,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,1/2020,01/27/20
AWS Certified Solutions Architect Professional [Latest Exam],www.udemy.com/course/amazon-certified-solutions-architect-professional/,DolfinEd -,0,€99.99,Rating: 4.6 out of 54.6 - (833),"[(/user/wom-sherif/, DolfinEd -)]",IT & Software,IT Certification,AWS Certified Solutions Architect - Professional,"3,008",English,ACE the Amazon - AWS Certified Solutions Architect Professional New Exam using this Unique All-in-One Preparation Guide,1/2020,01/27/20
Amazon Web Services (AWS) Certified - 4 Certifications!,www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,BackSpace Academy,€199.99,€11.99,"Rating: 4.5 out of 54.5 - (12,256)","[(/user/backspace-academy/, BackSpace Academy)]",IT & Software,IT Certification,AWS Certification,"75,061",English,"Videos, labs & practice exams - AWS Certified (Solutions Architect, Developer, SysOps Administrator, Cloud Practitioner)",10/2019,01/27/20
The Complete Networking Fundamentals Course. Your CCNA start,www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,"David Bombal, Experts with David Bombal",€19.99,€11.99,"Rating: 4.5 out of 54.5 - (16,256)","[(/user/davidbombal/, David Bombal), (/user/experts-by-david-bombal/, Experts with David Bombal)]",IT & Software,IT Certification, Cisco CCNA,"69,370",English,Learn about networking and start your journey to CCNA,12/2019,01/27/20
The Complete Cyber Security Course : Network Security!,www.udemy.com/course/network-security-course/,Nathan House,"₩132,000","₩13,200","Rating: 4.5 out of 54.5 - (6,859)","[(/user/nathan-house/, Nathan House)]",IT & Software,Network & Security,Cyber Security,"88,428",English,"Volume 2 : Network Security, WiFi Security, WiFi Hackers, Firewalls, Wireshark, Secure Networking. + Password Managers",10/2019,01/27/20
Cisco CCNA 200-125 and 200-301 – The Complete Guide,www.udemy.com/course/ccna-complete/,Neil Anderson,"₩22,000","₩13,200","Rating: 4.7 out of 54.7 - (13,413)","[(/user/neil-anderson-3/, Neil Anderson)]",IT & Software,IT Certification,Cisco CCNA,"39,119",English,The top rated CCNA course online with all your questions answered. Full labs and 200-301 exam updates included.,1/2020,01/27/20
AZ-300 Azure Architecture Technologies Exam Prep 2020,www.udemy.com/course/70534-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca","₩44,000","₩13,200","Rating: 4.4 out of 54.4 - (16,292)","[(/user/scottduffy2/, Scott Duffy  • 200,000+ Students), (/user/scott-duffy-4/, Software Architect.ca)]",IT & Software,IT Certification,Microsoft AZ-300,"78,829",English,Prove your Azure Architect Technology skills to the world. Complete AZ-300 course. Update as of Dec 2019.,1/2020,01/27/20
CompTIA Security+ (SY0-501) Complete Course & Practice Exam,www.udemy.com/course/securityplus/,"Jason Dion • 150,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (4,957)","[(/user/jason-dion/, Jason Dion • 150,000+ Students Worldwide), (/user/llc-dion-training-solutions/, Dion Training Solutions • ATO for ITIL & PRINCE2)]",IT & Software,IT Certification,CompTIA Security+,"18,373",English,CompTIA Security+ (SY0-501) Bootcamp - Your preparation course for the most popular cyber security certification!,1/2020,01/27/20
AZ-103 Azure Administrator Exam Certification 2020,www.udemy.com/course/70533-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca","₩44,000","₩13,200","Rating: 4.4 out of 54.4 - (11,184)","[(/user/scottduffy2/, Scott Duffy  • 200,000+ Students), (/user/scott-duffy-4/, Software Architect.ca)]",IT & Software,IT Certification,Microsoft AZ-103,"47,794",English,Prove your AZ-103 Azure Administrator skills to the world. Update as of Dec 2019.,1/2020,01/27/20
AWS Certified Cloud Practitioner: 6 full practice tests 2020,www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mozdora Education,"₩82,500","₩13,200","Rating: 4.4 out of 54.4 - (5,104)","[(/user/f46d7cfb-021e-41a9-ab1d-b39c05240191/, Mozdora Education)]",IT & Software,IT Certification,AWS Certification,"22,359",English,Pass the AWS Certified Cloud Practitioner exam on first try! |NEW AWS CCP Practice Exam Questions |Detailed Explanations,1/2020,01/27/20
"The Ultimate Dark Web, Anonymity, Privacy & Security Course",www.udemy.com/course/the-ultimate-dark-web-anonymity-privacy-security-course/,"Zaid Sabih, z Security","₩214,500","₩13,200",Rating: 4.7 out of 54.7 - (886),"[(/user/zaidsabih/, Zaid Sabih), (/user/zsecurity-2/, z Security)]",IT & Software,Network & Security,Cyber Security,"7,617",English,"Learn how to access & use the dark net and the clear net privately, anonymously and securely",11/2019,01/27/20
Google Certified Associate Cloud Engineer Certification,www.udemy.com/course/google-certified-associate-cloud-engineer/,"Ryan Kroonenburg, Mattias Andersson, Nigel Poulton","₩198,000","₩13,200","Rating: 4.4 out of 54.4 - (2,997)","[(/user/ryankroonenburg/, Ryan Kroonenburg), (/user/mattias-andersson-7/, Mattias Andersson), (/user/nigel17/, Nigel Poulton)]",IT & Software,IT Certification,Google Cloud Associate Cloud Engineer,"19,984",English,Get hands on with Google Cloud Platform (GCP) and become a Google Certified Associate Cloud Engineer (ACE),9/2019,01/27/20
AWS Certified Solutions Architect - Associate [Latest Exam],www.udemy.com/course/aws-certified-solutions-architect-associate-exam/,DolfinEd -,0,"₩49,500","Rating: 4.7 out of 54.7 - (5,849)","[(/user/wom-sherif/, DolfinEd -)]",IT & Software,IT Certification,AWS Certification,"15,736","English
 ",ACE the AWS Certified Solutions Architect Associate (CSAA) exam using the best All-in-One CSAA Exam Preparation Guide,1/2020,01/27/20
Ultimate AWS Certified SysOps Administrator Associate 2020,www.udemy.com/course/ultimate-aws-certified-sysops-administrator-associate/,Stephane Maarek | AWS Certified Solutions Architect & Developer,"₩220,000","₩13,200","Rating: 4.7 out of 54.7 - (2,537)","[(/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer)]",IT & Software,IT Certification,AWS Certification,"17,290",English,Become an AWS SysOps Administrator! Learn all AWS Certified SysOps Administrator Associate topics. Pass Certified SysOps,1/2020,01/27/20
Learn Linux in 5 Days and Level Up Your Career,www.udemy.com/course/learn-linux-in-5-days/,Jason Cannon,"₩214,500","₩13,200","Rating: 4.5 out of 54.5 - (19,004)","[(/user/jasoncannon2/, Jason Cannon)]",IT & Software,Operating Systems,Linux,"100,117",English,Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.,1/2020,01/27/20
The Complete Oracle SQL Certification Course,www.udemy.com/course/the-complete-oracle-sql-certification-course/,Imtiaz Ahmad,"₩214,500","₩13,200","Rating: 4.5 out of 54.5 - (14,805)","[(/user/imtiazahmad4/, Imtiaz Ahmad)]",Development,Databases,Oracle SQL,"58,717",English,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",10/2019,01/27/20
Linux Administration Bootcamp: Go from Beginner to Advanced,www.udemy.com/course/linux-administration-bootcamp/,Jason Cannon,"₩220,000","₩13,200","Rating: 4.5 out of 54.5 - (10,301)","[(/user/jasoncannon2/, Jason Cannon)]",IT & Software,Operating Systems,Linux Administration,"50,911",English,Learn Red Hat Linux & CentOS: Use the in-demand skills to start a career as a Linux Server Admin or Linux Administrator!,1/2020,01/27/20
Learn Website Hacking / Penetration Testing From Scratch,www.udemy.com/course/learn-website-hacking-penetration-testing-from-scratch/,"Zaid Sabih, z Security","₩209,000","₩13,200","Rating: 4.5 out of 54.5 - (5,634)","[(/user/zaidsabih/, Zaid Sabih), (/user/zsecurity-2/, z Security)]",IT & Software,Network & Security,Penetration Testing,"44,958",English,Learn how to hack websites and web applications like black hat hackers and secure them like security experts.,12/2019,01/27/20
Kubernetes for the Absolute Beginners - Hands-on,www.udemy.com/course/learn-kubernetes/,"Mumshad Mannambeth, KodeKloud Training","₩220,000","₩13,200","Rating: 4.6 out of 54.6 - (8,269)","[(/user/mumshad-mannambeth/, Mumshad Mannambeth), (/user/kodekloud/, KodeKloud Training)]",IT & Software,Network & Security,Kubernetes,"37,068",English,"Learn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.",,01/27/20
The Complete Ethical Hacking Course: Beginner to Advanced!,www.udemy.com/course/penetration-testing/,Ermin Kreponic,"₩220,000","₩13,200","Rating: 4.3 out of 54.3 - (24,679)","[(/user/erminkreponic/, Ermin Kreponic)]",IT & Software,Network & Security,Ethical Hacking,"267,491",English,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",11/2017,01/27/20
The Complete Cyber Security Course : Anonymous Browsing!,www.udemy.com/course/the-complete-cyber-security-course-anonymous-browsing/,Nathan House,$119.99,$11.99,"Rating: 4.6 out of 54.6 - (2,676)","[(/user/nathan-house/, Nathan House)]",IT & Software,Network & Security,Cyber Security,"56,843",English,"Volume 3 : Become a Cyber Security Specialist, Anonymous Browsing, Hide my IP, Tor, Privacy, Proxy Servers and Best VPNs",10/2019,01/27/20
Linux Mastery: Master the Linux Command Line in 11.5 Hours,www.udemy.com/course/linux-mastery/,Ziyad Yehia,$194.99,$11.99,"Rating: 4.7 out of 54.7 - (5,850)","[(/user/ziyadyehia2/, Ziyad Yehia)]",IT & Software,Operating Systems,Linux,"38,201",English,Learn the Linux Command Line from Scratch and Improve your Career with the World's Most Fun Project-Based Linux Course!,1/2020,01/27/20
AWS Certified Machine Learning Specialty 2020 - Hands On!,www.udemy.com/course/aws-machine-learning/,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Solutions Architect & Developer, Frank Kane",$199.99,$11.99,Rating: 4.5 out of 54.5 - (494),"[(/user/frankkane/, Sundog Education by Frank Kane), (/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer), (/user/frank-kane-2/, Frank Kane)]",IT & Software,IT Certification,AWS Certified Machine Learning - Specialty,"5,340",English,"Learn SageMaker, feature engineering, model tuning, and the AWS machine learning ecosystem. Be prepared for the exam!",1/2020,01/27/20
AWS Certified Big Data Specialty 2020 - In Depth & Hands On!,www.udemy.com/course/aws-big-data/,"Sundog Education by Frank Kane, Stephane Maarek | AWS Certified Solutions Architect & Developer, Frank Kane",$199.99,$11.99,"Rating: 4.5 out of 54.5 - (2,129)","[(/user/frankkane/, Sundog Education by Frank Kane), (/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer), (/user/frank-kane-2/, Frank Kane)]",IT & Software,IT Certification,AWS Certification,"15,865",English,"Comprehensive, hands-on AWS Big Data certification prep, with a practice exam! Kinesis, EMR, DynamoDB, Redshift and more",1/2020,01/27/20
AWS Certified SysOps Administrator - Associate 2020,www.udemy.com/course/aws-certified-sysops-administrator-associate/,"Ryan Kroonenburg, Faye Ellis",$149.99,$11.99,"Rating: 4.4 out of 54.4 - (10,224)","[(/user/ryankroonenburg/, Ryan Kroonenburg), (/user/faye-ellis-2/, Faye Ellis)]",IT & Software,IT Certification,AWS Certification,"91,288",English,Want to pass the AWS Certified SysOps Administrator Exam? Want to become Amazon Web Services Certified? Do this course!,12/2019,01/27/20
AWS Certified DevOps Engineer Professional 2020 - Hands On!,www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/,Stephane Maarek | AWS Certified Solutions Architect & Developer,$199.99,$11.99,Rating: 4.7 out of 54.7 - (793),"[(/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer)]",IT & Software,IT Certification,AWS Certified DevOps Engineer - Professional,"8,087",English,Pass the AWS Certified DevOps Engineer Professional Certification (DOP-C01) with 20 hours of advanced hands-on videos.,1/2020,01/27/20
Complete Linux Training Course to Get Your Dream IT Job 2020,www.udemy.com/course/complete-linux-training-course-to-get-your-dream-it-job/,Imran Afzal,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (3,879)","[(/user/imran-afzal-5/, Imran Afzal)]",IT & Software,Operating Systems,Linux,"21,276",English,"The best Linux Administration course that prepares you for corporate world and for RHCSA, RHCE and LFCS certifications",1/2020,01/27/20
Microsoft Azure cloud - Beginner Bootcamp (Updated Sep 2019),www.udemy.com/course/the-complete-walkthrough-of-microsoft-azure-services/,Varma Rudra,$99.99,$11.99,"Rating: 4.3 out of 54.3 - (2,440)","[(/user/varma-rudraraju-2/, Varma Rudra)]",IT & Software,IT Certification,Microsoft Azure,"16,322", English,The most comprehensive Microsoft Azure course with lots of lab demos on how to deploy and manage Azure services,10/2019,01/27/20
CompTIA Security+ (SY0-501) Practice Exams with Simulations,www.udemy.com/course/comptia-security-practice-exams/,"Jason Dion • 150,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Laura Sullivan",$99.99,$11.99,"Rating: 4.4 out of 54.4 - (1,978)","[(/user/jason-dion/, Jason Dion • 150,000+ Students Worldwide), (/user/llc-dion-training-solutions/, Dion Training Solutions • ATO for ITIL & PRINCE2), (/user/laura-sullivan/, Laura Sullivan)]",IT & Software,IT Certification,CompTIA Security+,"11,806",English,Full-length CompTIA Security+ (SY0-501) Practice Exams * PBQs * Timed * 420 Questions with feedback!,10/2019,01/27/20
The Complete Cyber Security Course : End Point Protection!,www.udemy.com/course/the-complete-cyber-security-course-end-point-protection/,Nathan House,$194.99,$11.99,"Rating: 4.5 out of 54.5 - (2,219)","[(/user/nathan-house/, Nathan House)]",IT & Software,Network & Security,Cyber Security,"48,935",English,"Volume 4 :Become a Cyber Security Specialist, Antivirus & Malware, Disk Encryption, Finding & Removing Hackers & Malware",10/2019,01/27/20
AWS Certified Developer Associate 2020 [4 Practice Tests],www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/,Stephane Maarek | AWS Certified Solutions Architect & Developer,$99.99,$11.99,"Rating: 4.5 out of 54.5 - (2,056)","[(/user/stephane-maarek/, Stephane Maarek | AWS Certified Solutions Architect & Developer)]",IT & Software,IT Certification,AWS Certification,"17,484",English,293 Exam Quiz Questions on DVA-C01 ! Practice the AWS Certified Developer Exam & ace the AWS Certified Developer Exam!,12/2019,01/27/20
AZ-203 Developing Solutions for Microsoft Azure Exam Prep,www.udemy.com/course/70532-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca",$39.99,$11.99,"Rating: 4.3 out of 54.3 - (8,022)","[(/user/scottduffy2/, Scott Duffy  • 200,000+ Students), (/user/scott-duffy-4/, Software Architect.ca)]",IT & Software,IT Certification,Microsoft AZ-203,"42,321",English,The most complete course available on the Microsoft Azure developer exam AZ-203 with timed practice test.,1/2020,01/27/20
Network Hacking Continued - Intermediate to Advanced,www.udemy.com/course/network-hacking-continued-intermediate-to-advanced/,"Zaid Sabih, z Security",$189.99,$11.99,"Rating: 4.6 out of 54.6 - (1,275)","[(/user/zaidsabih/, Zaid Sabih), (/user/zsecurity-2/, z Security)]",IT & Software,Network & Security,Ethical Hacking,"21,992",English,Learn advanced techniques to hack into WiFi & wired networks & write own python scripts to implement custom MITM attacks,11/2019,01/27/20
Linux Shell Scripting: A Project-Based Approach to Learning,www.udemy.com/course/linux-shell-scripting-projects/,Jason Cannon,$199.99,$11.99,"Rating: 4.5 out of 54.5 - (3,338)","[(/user/jasoncannon2/, Jason Cannon)]",IT & Software,Operating Systems,Shell Scripting,"25,082",English,"Learn how to shell script through project-based training (Bash Scripting, Bash Programming, Sed, Grep, Awk, and More)",1/2020,01/27/20
CCNA 2019 200-125 Video Boot Camp With Chris Bryant,www.udemy.com/course/ccna-on-demand-video-boot-camp/,Chris Bryant,$19.99,$11.99,"Rating: 4.6 out of 54.6 - (23,511)","[(/user/chrisbryant/, Chris Bryant)]",IT & Software,IT Certification,Cisco CCNA,"100,136",English,"Join The 90,000+ Students Who Are Learning Real-World Skills AND Earning Their CCNA!",8/2018,01/27/20
AZ-900: Microsoft Azure Fundamentals Exam Prep -2020 Edition,www.udemy.com/course/az900-azure/,"Scott Duffy  • 200,000+ Students, Software Architect.ca",$29.99,$11.99,"Rating: 4.4 out of 54.4 - (2,855)","[(/user/scottduffy2/, Scott Duffy  • 200,000+ Students), (/user/scott-duffy-4/, Software Architect.ca)]",IT & Software,IT Certification,Microsoft AZ-900,"10,138",English,"Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!",1/2020,01/27/20
AWS Certified Solutions Architect Professional Practice Exam,www.udemy.com/course/aws-solutions-architect-professional-practice-exams-2018/,"Jon Bonso • AWS Certified Solutions Architect & Certified Developer, Tutorials Dojo",£39.99,£11.99,Rating: 4.3 out of 54.3 - (982),"[(/user/jonjonbonso/, Jon Bonso • AWS Certified Solutions Architect & Certified Developer), (/user/tutorials-dojo-3/, Tutorials Dojo)]",IT & Software,IT Certification,AWS Certification,"9,799",English,"300 AWS Certified Solutions Architect Professional Practice Test Questions with Explanations, References and Flashcards",1/2020,01/27/20
PLC Programming From Scratch (PLC I),www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,£99.99,£11.99,"Rating: 4.6 out of 54.6 - (11,887)","[(/user/paullynn/, Paul Lynn)]",IT & Software,Hardware,PLC,"37,623",English,This course will give a person with no prior experience the basic tools necessary to create a PLC program from scratch.,1/2020,01/27/20
AWS Certified Cloud Practitioner Ultimate Exam Training 2020,www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,"Neal Davis | AWS Certified Solutions Architect, Digital Cloud Training | AWS Certification Courses",£94.99,£11.99,"Rating: 4.6 out of 54.6 - (1,094)","[(/user/63f4a578-c67a-456b-916c-ddadf73e9a26/, Neal Davis | AWS Certified Solutions Architect), (/user/digital-cloud-training/, Digital Cloud Training | AWS Certification Courses)]",IT & Software,IT Certification,AWS Certification,"4,970",English,Amazon AWS Certified Cloud Practitioner | ALL-IN-ONE AWS Certification Exam Prep| Hands-on Labs | 620 Practice Questions,1/2020,01/27/20
The Complete Salesforce Classic Administrator Certification,www.udemy.com/course/salesforce-administrator/,"Mike Wheeler, Aaron Wheeler",£19.99,£11.99,"Rating: 4.5 out of 54.5 - (18,927)","[(/user/mike-wheeler-5/, Mike Wheeler), (/user/aaron-wheeler/, Aaron Wheeler)]",IT & Software,IT Certification,Salesforce Certified Administrator,"62,997",English,"Salesforce Admin 60 Question Practice Test Included! Join 60,000+ students.",12/2019,01/27/20
TOTAL: CompTIA Security+ Cert. (SY0-501) Practice Tests.,www.udemy.com/course/comptia-security-cert-sy0-501-practice-tests/,"Total Seminars • 200,000+ Students, Mike Meyers",£99.99,£11.99,"Rating: 4.3 out of 54.3 - (2,566)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students), (/user/mike-meyers/, Mike Meyers)]",IT & Software,IT Certification,CompTIA Security+,"23,427",English,Test your skills with 3 full practice exams that mimic the real CompTIA exams with - Certification Practice Tests.,1/2020,01/27/20
Microsoft Azure - Beginner's Guide + AZ-900 preparation,www.udemy.com/course/microsoft-azure-beginners-guide/,Alan Rodrigues,£99.99,£11.99,"Rating: 4.4 out of 54.4 - (4,652)","[(/user/b6837a38-3380-4c15-8cd9-aabb118793df/, Alan Rodrigues)]",IT & Software,IT Certification,Microsoft AZ-900,"24,098",English,Beginning your journey on Microsoft Azure + 165 practice questions on AZ-900 certification exam,11/2019,01/27/20
CompTIA Network+ (N10-007) Full Course & Practice Exam,www.udemy.com/course/networkplus/,"Jason Dion • 150,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",£199.99,£11.99,"Rating: 4.6 out of 54.6 - (5,244)","[(/user/jason-dion/, Jason Dion • 150,000+ Students Worldwide), (/user/llc-dion-training-solutions/, Dion Training Solutions • ATO for ITIL & PRINCE2)]",IT & Software,IT Certification,CompTIA Network+,"19,938",English,CompTIA Network+ (N10-007) Bootcamp - Certification preparation course on the most popular networking certification!,10/2019,01/27/20
Microsoft AZ-301 Certification: Azure Architect Design 2020,www.udemy.com/course/microsoft-az-301-certification-azure-architect-design/,"Nick Colyer, Skylines Academy",£149.99,£12.99,"Rating: 4.4 out of 54.4 - (1,004)","[(/user/nick-colyer-2/, Nick Colyer), (/user/skylines-academy/, Skylines Academy)]",IT & Software,IT Certification,Microsoft AZ-301,"9,274",English,Be able to advise customers and translate business requirements into Azure solutions by taking the AZ-301 exam!,1/2020,01/27/20
TOTAL: CompTIA A+ Certification (220-1001) Practice Tests.,www.udemy.com/course/comptia-a-certification-1001-practice-test/,"Total Seminars • 200,000+ Students",£99.99,£11.99,"Rating: 4.4 out of 54.4 - (1,018)","[(/user/dudley-lehmer/, Total Seminars • 200,000+ Students)]",IT & Software,IT Certification,CompTIA A+,"6,544",English,Test your skills with 3 full practice exams that mimic the real CompTIA exams with - Certification Practice Tests.,12/2019,01/27/20
ITIL 4 Foundation Practice Certification Exams (6 Exams),www.udemy.com/course/itil-4-foundation-practice-certification-exams-6-exams-q/,"Jason Dion • 150,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",£99.99,£22.99,"Rating: 4.5 out of 54.5 - (2,536)","[(/user/jason-dion/, Jason Dion • 150,000+ Students Worldwide), (/user/llc-dion-training-solutions/, Dion Training Solutions • ATO for ITIL & PRINCE2)]",IT & Software,IT Certification,ITIL 4 Foundation,"14,318",English,6 Full-length ITIL 4 Foundation Timed Tests *** 40 Questions Each & 240 Questions Total (With feedback on each question),1/2020,01/27/20
