Course,URL,instructor,Price (full),Price (discount),Rank,Instructor URL,Category 1,Category 2,Category 3,Enrollment,Language,Description,Last Update,Date Scraped
Create Insane Videos w/Camtasia 9 - Go from Newbie to Master,www.udemy.com/course/create-insane-videos-wcamtasia-9-go-from-newbie-to-master/,Robert Bettencourt,£199.99,£10.99,Rating: 4.2 out of 54.2 - (20),"[(/user/robert-bettencourt/, Robert Bettencourt)]",Photography,Video Design, Camtasia,"1,410",English,Take Your Video Marketing to the Next Level with This Powerful Over the Shoulder Training,10/2017,01/27/20
The Litchi Handbook,www.udemy.com/course/the-litchi-handbook/,Laurence Seberini,£29.99,£10.99,Rating: 4.5 out of 54.5 - (71),"[(/user/laurence-seberini/, Laurence Seberini)]",Photography,Other,Litchi,387,English,The must have guide for the Litchi app,7/2018,01/27/20
"Phantom & Mavic Filmschool 3 - 3D models, Focus, Follow",www.udemy.com/course/phantom-filmschool-3-the-easy-way-to-shoot-like-a-pro/,Laurence Seberini,£39.99,£10.99,Rating: 4.4 out of 54.4 - (309),"[(/user/laurence-seberini/, Laurence Seberini)]",Photography,Other,Aerial Photography,"2,231",English,"Master new editing skills, flying skills and learn new applications like Large format panos & 3d models with your drone",5/2018,01/27/20
Wedding Videography,www.udemy.com/course/wedding-videography/,Aaron Benitez,£24.99,£10.99,Rating: 4.6 out of 54.6 - (91),"[(/user/aaronbenitez2/, Aaron Benitez)]",Photography,Video Design,Videography,936,English,"A complete guide to starting, running, and growing your own wedding videography business.",1/2014,01/27/20
Mastering Adobe Photoshop Elements,www.udemy.com/course/mastering-adobe-photoshop-elements/,Robin Nichols,£34.99,£10.99,Rating: 4.2 out of 54.2 - (17),"[(/user/robin-nichols-2/, Robin Nichols)]",Photography,Photography Tools,Photoshop,92,English,This course has all the tools to enable you to create truly great-looking images from your original shots,12/2019,01/27/20
Canon RP Crash Course Training Tutorial,www.udemy.com/course/canon-rp-crash-course-training-tutorial/,Michael Andrew,0,£39.99,Rating: 4.9 out of 54.9 - (4),"[(/user/michaelandrew3/, Michael Andrew)]",Photography,Digital Photography,Cameras,14,English,Made For Beginners!,8/2019,01/27/20
Canon 77D / T7i Crash Course,www.udemy.com/course/canon-77d-t7i-crash-course/,Michael Andrew,0,£39.99,Rating: 4.3 out of 54.3 - (13),"[(/user/michaelandrew3/, Michael Andrew)]",Photography,Other,Cameras,38,English,Made for Beginners!,8/2019,01/27/20
Ultimate Photoshop: Creative Professional Masterclass,www.udemy.com/course/ultimatephotoshopbundle/,Dan LeFebvre,£199.99,£10.99,Rating: 5.0 out of 55.0 - (1),"[(/user/danlefebvre/, Dan LeFebvre)]",Photography,Photography Tools,Photoshop,33,English,The Best Way to Level Up Your Skills in Photoshop,1/2020,01/27/20
Complete iMovie Master Class - Go From Beginner To Advanced,www.udemy.com/course/imoviemasterclass/,"Joe Parys, Joe Parys Support",£199.99,£10.99,Rating: 4.3 out of 54.3 - (13),"[(/user/josephparys/, Joe Parys), (/user/joe-parys-academy/, Joe Parys Support)]",Photography,Video Design,iMovie,"4,392",English,Learn how to edit videos like a profession from scratch and go from beginner to advanced using iMovie in 2019 and 2020,9/2019,01/27/20
Panasonic Lumix GH4 for Beginners,www.udemy.com/course/panasonic-lumix-gh4-crash-course/,Michael Andrew,0,£39.99,Rating: 4.3 out of 54.3 - (19),"[(/user/michaelandrew3/, Michael Andrew)]",Photography,Digital Photography,Cameras,87,English,"Learn not only the GH4, but how to become a great photographer as well.",8/2019,01/27/20
Video Editing Workflow for Filmmakers,www.udemy.com/course/editingwf/,Christopher E. Scott,£19.99,£10.99,Rating: 3.8 out of 53.8 - (75),"[(/user/christopherescott2/, Christopher E. Scott)]",Photography,Video Design,Filmmaking,423,English,Edit Your Film From Scratch: The Do It Yourself Guide to Film Editing,12/2017,01/27/20
Complete Underwater Photography Guide for Beginners - 2018,www.udemy.com/course/underwater-photography-guide/,Duncan Heuer,£59.99,£10.99,Rating: 3.8 out of 53.8 - (52),"[(/user/duncan-heuer/, Duncan Heuer)]",Photography,Photography Fundamentals,Underwater Photography,177,English,"Covering camera settings, lighting techniques, housings, strobes, accessories, macro, wide-angle and editing and more.",2/2018,01/27/20
The Ultimate Lightroom Classic CC course taught by a pro,www.udemy.com/course/the-ultimate-lightroom-classic-cc-course-taught-by-a-pro/,Matt Brodie,£199.99,£10.99,Rating: 4.7 out of 54.7 - (14),"[(/user/matt-brodie/, Matt Brodie)]", Photography,Digital Photography,Adobe Lightroom,113,English,"Pro photographer takes you from complete novice through to expert, step by step. Inc tips, tricks and effective workflow",1/2019,01/27/20
Lightroom Classic Crash Course - 4 Beginners,www.udemy.com/course/lightroom-cc-crash-course-4-beginners/,Chris Parker,£39.99,£10.99,Rating: 4.2 out of 54.2 - (258),"[(/user/chrisparker5/, Chris Parker)]",Photography,Photography Tools,Adobe Lightroom,"6,601",English,New to Lightroom Classic CC and lost? Not after this Lightroom crash course! Learn the basics and more.,7/2019,01/27/20
Complete Guide to DaVinci Resolve 15 Video Editing,www.udemy.com/course/resolve15/,Chris Navarre,£29.99,£10.99,Rating: 4.5 out of 54.5 - (11),"[(/user/chris-navarre/, Chris Navarre)]",Photography,Video Design,Video Editing,75,English,"Edit videos within this powerful modern video editor suite for Windows, Mac, and Linux",4/2019,01/27/20
"Ultimate photography course, where beginners become masters",www.udemy.com/course/ultimate-photography-course/,Lance van de Vyver,£99.99,£12.99,Rating: 4.4 out of 54.4 - (12),"[(/user/lance-37/, Lance van de Vyver)]",Photography,Photography Fundamentals,Digital Photography,57,English,A beginners guide to the basic fundamentals of digital photography.,4/2019,01/27/20
